save_as,category,url,license,source_page,author
aiga_firstaid.png,first_aid,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Aiga_firstaid.svg/500px-Aiga_firstaid.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_firstaid.svg,AIGA / US DOT
aiga_currency.png,currency_exchange,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Aiga_currencyexchange.svg/500px-Aiga_currencyexchange.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_currencyexchange.svg,AIGA / US DOT
aiga_carrental.png,car_rental,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Aiga_carrental.svg/500px-Aiga_carrental.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_carrental.svg,AIGA / US DOT
aiga_parking.png,parking,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Aiga_parking.svg/500px-Aiga_parking.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_parking.svg,AIGA / US DOT
photo_wayfinding.jpg,information,https://upload.wikimedia.org/wikipedia/commons/1/15/Airport_wayfinding_signage_example.jpg,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Airport_wayfinding_signage_example.jpg,see Wikimedia file page
photo_wayfinding2.jpg,information,https://upload.wikimedia.org/wikipedia/commons/b/ba/Airport-wayfinding-sign.jpg,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Airport-wayfinding-sign.jpg,see Wikimedia file page
photo_security.jpg,security,https://upload.wikimedia.org/wikipedia/commons/3/3a/Security_Check_entrance_of_Guilin_Airport.jpg,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Security_Check_entrance_of_Guilin_Airport.jpg,see Wikimedia file page
photo_elevator.jpg,information,https://upload.wikimedia.org/wikipedia/commons/4/4f/Elevator_sign_at_Rajiv_Gandhi_International_Airport%2C_hyderabad.jpg,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Elevator_sign_at_Rajiv_Gandhi_International_Airport,_hyderabad.jpg
photo_dublin.jpg,information,https://upload.wikimedia.org/wikipedia/commons/d/d2/Dublin_airport_sign_in_both_English_and_Irish_Gaelic_languages.jpg,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Dublin_airport_sign_in_both_English_and_Irish_Gaelic_languages.jpg,see Wikimedia file page
photo_yogyakarta.jpg,information,https://upload.wikimedia.org/wikipedia/commons/5/58/Yogyakarta_International_Airport_signage.jpg,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Yogyakarta_International_Airport_signage.jpg,see Wikimedia file page
